row_number,user_id,user_name,user_interest,user_past_event,user_past_event,latitude,longitude
1,1,Maya Putri,"2, 1","5, 6","3163, 1646",-6.333183353,106.7743983
2,2,Dian Putri,"1, 5","1, 6","113, 3163",-6.274905271,106.8214132
3,3,Fandi Wijaya,"3, 6","6, 1","1645, 1642",-6.114966113,106.8399324
4,4,Dina Utami,"2, 6","6, 2","1640, 1420",-6.138156156,106.6983962
5,5,Hadi Nurhayati,"1, 2","1, 5","3163, 3170",-6.281316602,106.6881949
6,6,Arif Putri,"6, 3","5, 2","1427, 1639",-6.266070322,106.6483018
7,7,Maya Sari,"2, 3","5, 2","3455, 1111",-6.218581368,106.6358506
8,8,Bambang Kurniawan,"3, 4","2, 1","1420, 3168",-6.111236293,106.7648485
9,9,Dina Pratama,"1, 2","2, 3","1528, 3657",-6.137726703,106.6061463
10,10,Dina Susanto,"1, 6","4, 5","3167, 3170",-6.118505768,106.6376478
11,11,Arif Sari,"1, 1","5, 2","116, 1423",-6.185854663,106.5787017
12,12,Joko Susanto,"6, 3","4, 2","3166, 1114",-6.118935708,106.8068092
13,13,Hadi Kurniawan,"2, 6","4, 3","1642, 1647",-6.341903289,106.771318
14,14,Ani Purnama,"6, 3","6, 2","3164, 1313",-6.092267805,106.692896
15,15,Arif Kurniawan,"5, 3","3, 1","3454, 1647",-6.136553486,106.6438232
16,16,Siti Utami,"5, 3","1, 2","1420, 1215",-6.244896138,106.6841962
17,17,Fajar Wijaya,"2, 1","1, 1","1333, 1528",-6.219873103,106.5869595
18,18,Rudi Santoso,"6, 2","4, 2","1636, 115",-6.096702066,106.9308426
19,19,Siti Purnama,"3, 1","2, 1","1638, 1636",-6.273839599,106.6199618
20,20,Arif Septiani,"1, 5","6, 3","1651, 3169",-6.164020778,106.6933841
21,21,Budi Santoso,"1, 6","6, 1","1422, 3168",-6.273033124,106.9585988
22,22,Fajar Wijaya,"2, 2","2, 6","1639, 1640",-6.130201386,106.6933223
23,23,Fajar Kusuma,"5, 2","4, 1","1650, 1650",-6.297638642,106.8803678
24,24,Andi Septiani,"5, 2","2, 2","1650, 1421",-6.246988044,106.6063581
25,25,Agus Hartono,"1, 2","6, 3","1313, 1335",-6.218971117,106.8277624
26,26,Citra Sari,"2, 1","5, 1","1332, 3658",-6.119123733,106.8150185
27,27,Fandi Purnama,"6, 2","4, 6","3162, 1417",-6.217001123,106.7362984
28,28,Fandi Putri,"5, 4","5, 1","1652, 1333",-6.307400189,107.0179575
29,29,Bambang Putri,"6, 6","3, 4","3658, 1422",-6.198483808,106.9306147
30,30,Fajar Kurniawan,"5, 2","5, 3","1651, 1212",-6.10707195,106.8863794
31,31,Dian Hidayat,"5, 6","3, 5","3356, 3455",-6.24757099,106.6040386
32,32,Ani Setiawan,"4, 4","6, 3","1640, 3170",-6.245742646,106.6094364
33,33,Dewi Wijaya,"5, 4","4, 2","3659, 3168",-6.137690676,106.9372183
34,34,Bambang Putri,"3, 6","3, 5","1110, 3163",-6.319542427,106.8952952
35,35,Maya Nugroho,"2, 3","6, 2","1648, 119",-6.244129008,106.6320252
36,36,Arif Susanto,"2, 5","3, 5","1639, 1650",-6.195755346,106.6937406
37,37,Lina Susanto,"6, 3","2, 2","1531, 111",-6.34461539,106.9085893
38,38,Maya Utami,"5, 3","2, 1","1639, 1530",-6.301462042,106.7055181
39,39,Desi Utami,"3, 1","3, 1","1638, 1645",-6.344263256,106.8829472
40,40,Joko Sari,"6, 3","5, 6","111, 1418",-6.245729487,106.8414708
41,41,Wahyu Susanto,"4, 2","5, 4","1529, 1651",-6.095849214,106.7102858
42,42,Desi Putri,"6, 1","4, 6","1334, 1313",-6.188363781,106.7314463
43,43,Lina Putri,"6, 1","1, 6","3165, 3162",-6.334545265,106.8517423
44,44,Arif Sari,"5, 4","2, 4","1652, 3454",-6.307892329,106.8632073
45,45,Siti Kurniawan,"4, 3","1, 1","3169, 3169",-6.160187577,106.8627135
46,46,Dian Wijaya,"6, 4","2, 2","1422, 3165",-6.095966458,106.7926733
47,47,Fandi Kurniawan,"3, 6","5, 6","1423, 3163",-6.091551839,106.6900672
48,48,Maya Kusuma,"3, 5","2, 3","1637, 1639",-6.109843956,106.9462864
49,49,Fajar Hidayat,"2, 1","3, 1","117, 3164",-6.273998476,106.6300795
50,50,Hadi Santoso,"4, 6","5, 4","1212, 1530",-6.183263991,106.8038947
51,51,Fandi Pratama,"4, 6","2, 1","1114, 1642",-6.326721434,106.9588637
52,52,Ani Nurhayati,"2, 2","2, 2","3170, 118",-6.333090653,107.0216007
53,53,Wahyu Santoso,"6, 5","4, 5","117, 1652",-6.164960365,106.9228166
54,54,Andi Kurniawan,"4, 6","4, 4","3167, 1422",-6.137191451,106.6739592
55,55,Joko Sari,"3, 6","6, 6","1528, 1530",-6.124170105,106.7211568
56,56,Desi Putri,"3, 5","1, 3","111, 3658",-6.270784919,106.9018085
57,57,Hadi Sari,"5, 5","2, 4","1416, 3658",-6.252419316,106.888995
58,58,Joko Septiani,"4, 6","2, 5","3170, 3659",-6.180835953,106.8543996
59,59,Siti Rahayu,"6, 5","3, 5","1424, 1647",-6.298847899,106.9852754
60,60,Rudi Septiani,"2, 6","6, 2","1652, 1334",-6.165810751,106.7046039
61,61,Agus Setiawan,"2, 6","4, 5","114, 1637",-6.128341556,106.6292343
62,62,Joko Sari,"6, 2","6, 1","1636, 1424",-6.142678837,106.6360452
63,63,Desi Putri,"1, 3","2, 5","1530, 1652",-6.220057849,106.9424691
64,64,Fajar Utami,"5, 6","5, 2","118, 1114",-6.252494162,106.6481949
65,65,Siti Pratama,"2, 4","5, 6","1649, 1553",-6.154345461,106.8140943
66,66,Agus Wijaya,"4, 1","5, 3","1641, 118",-6.224514113,106.6065541
67,67,Joko Pratama,"5, 3","1, 3","3168, 1313",-6.248089148,106.5977076
68,68,Wahyu Wijaya,"4, 3","4, 6","3168, 1519",-6.133918102,106.9474411
69,69,Citra Rahayu,"3, 3","5, 5","3657, 1111",-6.154138718,106.9459361
70,70,Fandi Hadiwijaya,"5, 2","1, 4","3167, 1418",-6.184214388,106.6923592
71,71,Hadi Putri,"2, 6","3, 3","3166, 118",-6.155905538,106.9812588
72,72,Wahyu Kurniawan,"5, 2","5, 3","117, 116",-6.11524551,106.9137613
73,73,Hadi Santoso,"5, 6","6, 3","116, 1642",-6.195224655,106.9659722
74,74,Arif Purnama,"5, 2","3, 2","3658, 1638",-6.210685744,106.852219
75,75,Citra Sari,"1, 2","2, 5","1648, 1110",-6.20473247,106.958242
76,76,Sinta Hidayat,"5, 1","3, 2","3455, 1416",-6.215027094,106.6017365
77,77,Desi Wijaya,"4, 4","3, 1","1649, 1529",-6.33961719,106.9231187
78,78,Fandi Putri,"3, 2","3, 3","115, 1332",-6.344180578,106.7532337
79,79,Arif Nugroho,"6, 1","2, 3","1420, 3164",-6.241437785,107.0079266
80,80,Sinta Susanto,"5, 5","5, 2","122, 1645",-6.342142143,106.9176957
81,81,Lina Rahayu,"2, 4","2, 1","1529, 1648",-6.093458894,106.7673194
82,82,Fandi Nurhayati,"5, 2","3, 2","1114, 1313",-6.094549378,106.9145447
83,83,Sinta Nurhayati,"2, 3","5, 5","1212, 113",-6.219857363,106.7247615
84,84,Budi Hermawan,"4, 5","5, 5","1332, 115",-6.142972415,106.8291346
